Valeur fonciere,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Cadastre,Prix m2
218370.0,Maison,220.0,6,448.0,1 184 AO,992.5909090909091
269000.0,Maison,80.0,3,1046.0,1 53 BD,3362.5
150000.0,Appartement,85.0,3,0.0,1 53 BZ,1764.7058823529412
106900.0,Appartement,72.0,4,0.0,1 344 AL,1484.7222222222222
196080.0,Maison,114.0,5,1059.0,1 175 WB,1720.0
220950.0,Maison,119.0,5,658.0,1 350 AA,1856.7226890756303
186900.0,Maison,92.0,4,618.0,1 306 A,2031.5217391304348
251030.0,Maison,129.0,6,501.0,1 159 AB,1945.968992248062
142500.0,Maison,104.0,5,722.0,1 128 WA,1370.1923076923076
70000.0,Maison,120.0,4,497.0,1 139 E,583.3333333333334
403530.0,Maison,168.0,5,476.0,1 344 AE,2401.964285714286
101550.0,Appartement,56.0,2,0.0,1 53 AD,1813.392857142857
226100.0,Maison,195.0,7,3844.0,1 343 ZA,1159.4871794871794
59470.0,Appartement,48.0,1,0.0,1 53 AN,1238.9583333333333
194000.0,Maison,91.0,4,855.0,1 102 D,2131.868131868132
220240.0,Maison,109.0,4,1341.0,1 102 D,2020.5504587155963
283350.0,Maison,167.0,4,1200.0,1 323 AO,1696.7065868263473
133000.0,Appartement,118.0,4,0.0,1 305 AK,1127.1186440677966
76500.0,Maison,60.0,4,220.0,1 231 AH,1275.0
101700.0,Maison,75.0,4,155.0,1 53 AB,1356.0
169120.0,Maison,92.0,4,0.0,1 369 B,1838.2608695652175
105000.0,Appartement,87.0,4,0.0,1 53 BM,1206.896551724138
400000.0,Maison,147.0,6,535.0,1 344 AI,2721.08843537415
344600.0,Maison,145.0,4,500.0,1 426 C,2376.551724137931
274200.0,Maison,110.0,4,279.0,1 53 AY,2492.7272727272725
260202.0,Maison,185.0,7,1443.0,1 336 A,1406.4972972972973
275000.0,Maison,102.0,4,952.0,1 53 BZ,2696.078431372549
367560.0,Maison,45.0,1,4182.0,1 69 ZH,8168.0
164250.0,Maison,86.0,4,336.0,1 236 AI,1909.8837209302326
236750.0,Maison,108.0,5,1109.0,1 134 AA,2192.1296296296296
80500.0,Appartement,71.0,3,0.0,1 305 AK,1133.8028169014085
176285.0,Maison,99.0,5,519.0,1 130 AA,1780.6565656565656
182500.0,Appartement,77.0,4,0.0,1 370 A,2370.12987012987
412000.0,Maison,173.0,6,845.0,1 320 AM,2381.5028901734104
205100.0,Maison,107.0,5,800.0,1 273 A,1916.822429906542
305000.0,Appartement,75.0,2,3020.0,1 24 AK,4066.6666666666665
162500.0,Maison,99.0,4,568.0,1 266 B,1641.4141414141413
192550.0,Maison,120.0,6,527.0,1 387 A,1604.5833333333333
105000.0,Maison,112.0,5,852.0,1 406 C,937.5
155050.0,Maison,68.0,3,409.0,1 432 B,2280.1470588235293
110000.0,Appartement,74.0,4,0.0,1 53 BE,1486.4864864864865
287800.0,Maison,155.0,4,1317.0,1 336 D,1856.774193548387
295000.0,Maison,141.0,6,500.0,1 422 ZK,2092.198581560284
196200.0,Maison,76.0,3,524.0,1 259 AA,2581.5789473684213
154600.0,Maison,91.0,5,377.0,1 53 BP,1698.901098901099
160000.0,Maison,66.0,3,997.0,1 134 AB,2424.242424242424
175000.0,Maison,97.0,3,1154.0,1 320 AH,1804.1237113402062
105570.0,Appartement,87.0,4,0.0,1 53 BD,1213.448275862069
149750.0,Appartement,94.0,4,0.0,1 53 AE,1593.0851063829787
72250.0,Maison,112.0,5,452.0,1 336 B,645.0892857142857
80900.0,Appartement,45.0,2,0.0,1 53 AD,1797.7777777777778
216150.0,Maison,93.0,4,673.0,1 451 AY,2324.1935483870966
256990.0,Maison,138.0,5,500.0,1 40 WL,1862.2463768115942
320000.0,Maison,134.0,5,436.0,1 451 BL,2388.0597014925374
220000.0,Maison,264.0,6,1070.0,1 291 B,833.3333333333334
138000.0,Maison,138.0,4,377.0,1 266 AB,1000.0
205000.0,Appartement,90.0,4,0.0,1 344 AC,2277.777777777778
87500.0,Maison,76.0,3,40.0,1 266 AB,1151.3157894736842
309000.0,Maison,108.0,4,500.0,1 130 B,2861.1111111111113
315000.0,Maison,113.0,4,500.0,1 430 B,2787.6106194690265
347500.0,Maison,150.0,5,500.0,1 304 ZC,2316.6666666666665
190000.0,Appartement,74.0,3,0.0,1 451 AH,2567.5675675675675
248220.0,Maison,90.0,5,870.0,1 289 AH,2758.0
149000.0,Appartement,130.0,4,0.0,1 53 AM,1146.1538461538462
128000.0,Appartement,90.0,4,0.0,1 53 AE,1422.2222222222222
